Geocodigo;Cidade;Latitude;Longitude
1716109;Paraíso do Tocantins;-10,17664816;-48,88978641
1716208;Paranã;-12,6144679;-47,87374871
1716307;Pau D'Arco;-7,543129384;-49,36905686
1716505;Pedro Afonso;-8,977057496;-48,17201803
1716604;Peixe;-12,03737755;-48,54181863
1716653;Pequizeiro;-8,593858069;-48,93508416
1716703;Colméia;-8,731676916;-48,7562021
1717008;Pindorama do Tocantins;-11,13582631;-47,57828403
1717206;Piraquê;-6,768435744;-48,29495095
1717503;Pium;-10,44085381;-49,17972621
1717800;Ponte Alta do Bom Jesus;-12,08778905;-46,47496935
1717909;Ponte Alta do Tocantins;-10,74189437;-47,53996203
1718006;Porto Alegre do Tocantins;-11,60827165;-47,04883606
1718204;Porto Nacional;-10,70579238;-48,41085789
1718303;Praia Norte;-5,394712199;-47,8105408
1718402;Presidente Kennedy;-8,532654583;-48,50520817
1718451;Pugmil;-10,42470714;-48,89797231
1718501;Recursolândia;-8,73668935;-47,24265103
1718550;Riachinho;-6,441266408;-48,13874066
1718659;Rio da Conceição;-11,40117767;-46,8818319
1718709;Rio dos Bois;-9,341853323;-48,53373017
1718758;Rio Sono;-9,348479684;-47,89426049
1718808;Sampaio;-5,351619182;-47,87581796
1718840;Sandolândia;-12,5410607;-49,92742273
1718865;Santa Fé do Araguaia;-7,15432042;-48,69214533
1718881;Santa Maria do Tocantins;-8,776017588;-47,74816214
1718899;Santa Rita do Tocantins;-10,86411065;-48,90844527
1718907;Santa Rosa do Tocantins;-11,44907974;-48,11621415
1719004;Santa Tereza do Tocantins;-10,28212385;-47,81022373
1720002;Santa Terezinha do Tocantins;-6,43563035;-47,67287382
1720101;São Bento do Tocantins;-6,029451636;-47,92380242
1720150;São Félix do Tocantins;-10,16090029;-46,66609485
1720200;São Miguel do Tocantins;-5,552044692;-47,57744605
1720259;São Salvador do Tocantins;-12,74954146;-48,23584606
1720309;São Sebastião do Tocantins;-5,257688661;-48,20234377
1720499;São Valério;-11,97322433;-48,23363231
1720655;Silvanópolis;-11,15125364;-48,17111308
1720804;Sítio Novo do Tocantins;-5,603306811;-47,63872503
1720853;Sucupira;-11,98725288;-48,91083488
1720903;Taguatinga;-12,3980998;-46,43467744
1720937;Taipas do Tocantins;-12,19217844;-46,99148979
1720978;Talismã;-12,80447935;-49,09309753
1721000;Palmas;-10,19390136;-48,32470873
1721109;Tocantínia;-9,5642476;-48,37503414
1721208;Tocantinópolis;-6,326776985;-47,42482492
1721257;Tupirama;-8,975861335;-48,19036237
1721307;Tupiratins;-8,401452755;-48,12896665
1722081;Wanderlândia;-6,853268419;-47,96455603
1722107;Xambioá;-6,409896078;-48,53127143
2100055;Açailândia;-4,950064746;-47,49059962
2100105;Afonso Cunha;-4,131860308;-43,32519098
2100154;Água Doce do Maranhão;-2,83795004;-42,11675674
2100204;Alcântara;-2,406669154;-44,41850224
2100303;Aldeias Altas;-4,629894815;-43,47016424
